fID,fName,fHigherUpfIDs,fPermission,fRemark,fOrgGUID
00,董事会,0,|3316||5581||6118||8538||8790|,董事会,f9a27e9a-d3a9-4423-b51f-10e19c41ea3a
01,总公司,00,|1829||3535||3707||3755||6230||6409||7752|,总公司,68e25d4f-dfa7-4438-9428-a0dc462e6efe
0101,研发中心,01,|1825||2699||3119||3896||7460||9315||9652|,研发中心,c730805a-2dd0-4d75-a4bd-fa71175641ef
0102,市场中心,01,|1741||1813||4826||6066||6506|,市场中心,a7e2b2e7-b92b-4307-96fc-1d6601784b14
0103,技术研究院,01,|1384||1558||2782||2960||8701|,技术研究院,a9886c8e-f4d6-4582-b5aa-0000a8deb91e
0104,行政中心,01,|2360||2833||3727||5445||6669||9150|,行政中心,a14e6cb5-b51a-4469-b210-4c56f75b4b08
010101,研发办公室,0101,|1149||4135||4255||4379||8310|,研发办公室,73824605-e859-4a13-a23a-1c4f784ae599
010201,市场办公室,0102,|1589||2939||3478||5768||6824||6931||9774|,市场办公室,c1df90c4-9751-48e7-8790-488e5b564b26
010301,研究院办公室,0103,|4030||8560||8690||8824||9037||9491||9749|,研究院办公室,4c4686ed-e598-4aa1-baff-610f3a976215
010401,行政办公室,0104,|4597||4803||5963||7397||9307|,行政办公室,1aea7972-bb24-4e2d-ad04-cb2cf9aebea8
010102,开发部,010101,|2920||3239||5018||6873||7715||7745|,开发部,a897ca94-9d48-40e7-93cd-c0b4abc8b5c8
010103,系统部,010101,|1936||4115||4881||5659||5920||6303||8611|,系统部,7c875af2-d7b6-4c89-bd86-3b8d323bcbd2
010202,市场部,010201,|1809||1865||2863||3562||4917||6211||6301|,市场部,523bd5a5-8c42-447e-93da-ae9999b2be8d
010402,行政部,010401,|4139||4168||5548||5956||6696||8519||8861||9619|,行政部,bc5e514f-b083-4f67-aed4-85a957c89bdf
010403,财务部,010401,|1285||1477||4534||5555||8072||9776|,财务部,7a019385-d6e2-4f28-a846-e35148cbccbf
01010201,技术总监,010102,|2768||4154||5217||5233||8687||8961||9938|,技术总监,b43e36cf-c0d7-4bf5-8d8b-4d48229ee3e8
01010202,前端开发工程师,010102,|3005||5754||6706||6796||8323||9355||9698||9990|,前端开发工程师,c9db6c00-31e8-4d46-a3ca-58b8f661c70f
01010203,后端开发工程师,010102,|2665||3089||4247||5382||5494||6391||7108|,后端开发工程师,0c1172c1-b994-47eb-a4df-9ec0dd3627cf
01010204,测试工程师,010102,|2174||3845||7015||8031||8073||9173||9192|,测试工程师,7dcb9dfd-cd5d-44ca-90a3-b83b6e46ca77
01010205,大数据工程师,010102,|3124||4885||5049||6239||8429|,大数据工程师,dd6629f6-80a0-445a-bb23-4baa0035118d
01010206,项目经理,010102,|1033||5402||5466||6725||8029||8071|,项目经理,fc01824e-d9b8-4aa1-bd5e-9b76a0c7ec70
01010301,产品总监,010103,|1320||4586||5620||5634||6996||7874||9408|,产品总监,a9ef3d40-b4a0-4589-a6a6-ebca761b082c
01010302,产品经理,010103,|2096||2423||3442||4369||6900||9160||9882|,产品经理,02e4e17b-cb1e-4072-867b-1f9113e4713c
01010303,UI工程师,010103,|1137||1514||2117||4399||5734||6029||7539|,UI工程师,93e9137e-28ce-4c18-85f9-3bdd722e7500
01010304,运维工程师,010103,|1008||3272||6835||7998||8702|,运维工程师,b7efb876-71c0-4086-9ecf-c6193f7912eb
01010305,硬件工程师,010103,|1249||1869||3838||4540||7384|,硬件工程师,1c4749c6-f8ad-4620-b03f-50004cb04585
01020201,品牌经理,010202,|2386||4355||4786||6386||6936||7373||9557|,品牌经理,2232117e-7154-454d-829c-b475d934f5f5
01020202,解决方案经理,010202,|3572||3601||3968||4118||4252||4877||5035||5228|,解决方案经理,cc810eb8-f140-4a68-b099-5c86282af7bd
01020203,售前经理,010202,|3709||5376||7232||7703||8555||9374|,售前经理,74152c06-c826-42d0-9721-17e9b165e58a
01020204,售后经理,010202,|1590||2060||5535||6417||8663|,售后经理,232ce7cb-f264-449b-a226-71419786b9b8
01020205,客服,010202,|4399||5007||6159||6381||9269|,客服,20debecf-7d5d-466c-a2a4-8c1a47f5e7f3
01040201,人事经理,010402,|2494||2537||3632||5002||5169||9214||9978|,人事经理,9611fa0b-7337-4af9-a323-b9d495189560
01040202,行政兼出纳,010402,|1391||4936||5235||7814||9524|,行政兼出纳,4be2bc60-cec3-4280-8c62-0797953c5961
01040203,行政人员,010402,|1124||4295||6044||6940||7655||8232||9344||9868|,行政人员,3063c5ce-a310-46f3-bb51-a8b4f486c3fe
01040301,财务经理,010403,|2379||3334||4682||4880||4882||4900||9504|,财务经理,950a6b09-b7c8-4069-be58-6947f1152e78
01040302,财务会计,010403,|2249||3512||4744||4845||6374||7450||8401|,财务会计,0ee4d310-0440-4024-9d1f-0325d3fab85d
01040303,出纳,010403,|3010||3677||6207||6491||6911||7868|,出纳,c334e6ae-851f-49b2-84f3-2c0af1e49396
